Code,Name,City,State,Website
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,Georgia,http://www.atlanta-airport.com/
BNA,Nashville International Airport,Nashville,Tennessee,http://www.flynashville.com
BOS,Logan International Airport,Boston,Massachusetts,http://www.massport.com/logan/default.aspx
BWI,Baltimore-Washington International Thurgood Marshall Airport,"Baltimore-Washington, D.C.metropolitan area",Maryland,http://www.bwiairport.com/
CLE,Cleveland Hopkins International Airport,Cleveland,Ohio,http://www.clevelandairport.com/site/375/default.aspx
CLT,Charlotte/Douglas International Airport,Charlotte,North Carolina,http://www.charmeck.org/Departments/Airport/home.htm
CVG,Cincinnati/Northern Kentucky International Airport,Cincinnati,Ohio,http://www.cvgairport.com/
DCA,Ronald Reagan Washington National Airport,"Baltimore-Washington, D.C.metropolitan area",Virginia,http://www.mwaa.com/national/
DEN,Denver International Airport,Denver,Colorado,http://www.flydenver.com/
DFW,Dallas-Fort Worth International Airport,Dallas-Fort Worth,Texas,http://www.dfwairport.com/
DTW,Detroit Metropolitan Wayne County Airport,Detroit,Michigan,http://www.metroairport.com/
EWR,Newark Liberty International Airport,Newark,New Jersey,http://www.panynj.gov/CommutingTravel/airports/html/newarkliberty.html
FLL,Fort Lauderdale-Hollywood International Airport,Fort Lauderdale,Florida,http://www.broward.org/airport/
IAD,Washington Dulles International Airport,"Baltimore-Washington, D.C.metropolitan area",Virginia,http://www.mwaa.com/dulles/
IAH,George Bush Intercontinental Airport,Houston,Texas,http://www.fly2houston.com/iah
IND,Indianapolis International Airport,Indianapolis,Indiana,http://www.indianapolisairport.com/
JFK,John F. Kennedy International Airport,New York City,New York,http://www.panynj.gov/CommutingTravel/airports/html/kennedy.html
LAS,McCarran International Airport,Las Vegas,Nevada,http://www.mccarran.com/
LAX,Los Angeles International Airport,Los Angeles,California,http://www.lawa.org/lax/welcomeLAX.cfm
LGA,LaGuardia Airport,New York City,New York,http://www.panynj.gov/CommutingTravel/airports/html/laguardia.html
MCI,Kansas City International Airport,Kansas City,Missouri,http://www.flykci.com/
MCO,Orlando International Airport,Orlando,Florida,http://www.orlandoairports.net/main.htm
MDW,Chicago Midway International Airport,Chicago,Illinois,http://www.flychicago.com/midway/MidwayHomepage.shtm
MEM,Memphis International Airport,Memphis,Tennessee,http://www.mscaa.com/
MIA,Miami International Airport,Miami,Florida,http://www.miami-airport.com/
MSP,Minneapolis-Saint Paul International Airport,Minneapolis-Saint Paul,Minnesota,http://www.mspairport.com/msp/default.aspx
ORD,O'Hare International Airport,Chicago,Illinois,http://flychicago.com/Ohare/OhareHomepage.shtm
PDX,Portland International Airport,Portland,Oregon,http://www.flypdx.com/PDX_home.aspx
PHL,Philadelphia International Airport,Philadelphia,Pennsylvania,http://www.phl.org/index.html
PHX,Phoenix Sky Harbor International Airport,Phoenix,Arizona,http://phoenix.gov/skyharborairport/index.html
PIT,Pittsburgh International Airport,Pittsburgh,Pennsylvania,http://www.flypittsburgh.com/redirect.jsp
RDU,Raleigh-Durham International Airport,Raleigh-Durham,North Carolina,http://www.rdu.com/
SAN,San Diego International Airport,San Diego,California,http://www.san.org/
SEA,Seattle-Tacoma International Airport,Seattle-Tacoma,Washington,http://www.portseattle.org/seatac/
SFO,San Francisco International Airport,San Francisco,California,http://www.flysfo.com/web/page/index.jsp
SJC,San Jose International Airport,San Jose,California,http://www.sjc.org/
SLC,Salt Lake City International Airport,Salt Lake City,Utah,http://www.slcairport.com/
STL,Lambert-St. Louis International Airport,St. Louis,Missouri,http://www.lambert-stlouis.com/
TEB,Teterboro Airport,Teterboro,New Jersey,http://www.panynj.gov/CommutingTravel/airports/html/teb.html
TPA,Tampa International Airport,Tampa,Florida,http://www.tampaairport.com/
