GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
college-visit-planner,edu.brown.cs.termproject.router,TSP.TSPGraph,0,687,1,49,0,150,1,37,0,13
college-visit-planner,edu.brown.cs.termproject.router,OrderRoute,5,50,1,7,1,13,1,4,0,1
college-visit-planner,edu.brown.cs.termproject.router,MST,0,76,1,7,0,18,1,4,0,1
college-visit-planner,edu.brown.cs.termproject.router,Point,6,15,0,0,1,6,1,3,1,3
college-visit-planner,edu.brown.cs.termproject.router,TSP,0,106,0,8,0,23,0,6,0,2
college-visit-planner,edu.brown.cs.termproject.router,Nearest,10,70,1,7,1,18,1,6,0,3
college-visit-planner,edu.brown.cs.termproject.router,TSP.new Comparator() {...},0,12,0,0,0,2,0,2,0,2
college-visit-planner,edu.brown.cs.termproject.router,Clustering,0,153,0,16,0,36,0,10,0,2
college-visit-planner,edu.brown.cs.termproject.router,UnionFind,3,35,0,2,1,14,1,6,1,5
college-visit-planner,edu.brown.cs.termproject.router,NaiveTSP.new Comparator() {...},0,9,0,0,0,2,0,2,0,2
college-visit-planner,edu.brown.cs.termproject.router,NaiveTSP,5,123,1,15,1,24,1,9,0,2
college-visit-planner,edu.brown.cs.termproject.autocorrect,Trie,2,560,2,58,1,106,2,40,0,12
college-visit-planner,edu.brown.cs.termproject.autocorrect,Autocorrector,9,83,4,6,1,18,4,3,0,2
college-visit-planner,edu.brown.cs.termproject.api,UserAPI.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
college-visit-planner,edu.brown.cs.termproject.api,UserAPI.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
college-visit-planner,edu.brown.cs.termproject.api,UserAPI,445,0,6,0,86,0,24,0,21,0
college-visit-planner,edu.brown.cs.termproject.api,CollegeAPI,158,0,6,0,35,0,11,0,8,0
college-visit-planner,edu.brown.cs.termproject.locationgraph,Airport,8,36,0,0,1,13,1,5,1,5
college-visit-planner,edu.brown.cs.termproject.locationgraph,LocationGraph,2,263,2,16,0,48,2,15,0,8
college-visit-planner,edu.brown.cs.termproject.locationgraph,Location,25,104,9,7,4,22,7,11,1,9
college-visit-planner,edu.brown.cs.termproject.locationgraph,Path,4,31,0,0,2,11,1,5,1,5
college-visit-planner,edu.brown.cs.termproject.locationgraph,College,11,45,0,0,2,18,2,8,2,8
college-visit-planner,edu.brown.cs.termproject.iotools,Encryption,42,120,0,0,14,12,1,3,1,3
college-visit-planner,edu.brown.cs.termproject.iotools,CenterCalculator,2,114,1,3,1,24,1,2,0,1
college-visit-planner,edu.brown.cs.termproject.iotools,GoogleMapAPIManager,17,74,0,0,2,15,1,4,1,4
college-visit-planner,edu.brown.cs.termproject.iotools,DistanceCalculator,0,62,0,0,0,12,0,1,0,1
college-visit-planner,edu.brown.cs.termproject.graph,GenericGraph,0,90,0,4,0,20,0,7,0,5
college-visit-planner,edu.brown.cs.termproject.graph,GenericEdge,7,18,0,0,3,7,2,3,2,3
college-visit-planner,edu.brown.cs.termproject.main,Main,262,15,4,0,67,4,13,2,11,2
college-visit-planner,edu.brown.cs.termproject.main,User,34,18,0,0,13,7,6,2,6,2
college-visit-planner,edu.brown.cs.termproject.database,CollegeSQLManager,69,167,11,13,19,45,14,8,5,5
college-visit-planner,edu.brown.cs.termproject.database,UserDataManager,287,159,28,14,65,39,26,8,7,6
college-visit-planner,edu.brown.cs.termproject.database,UserDataManager.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
college-visit-planner,edu.brown.cs.termproject.database,UserDataManager.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
college-visit-planner,edu.brown.cs.termproject.database,AirportSQLManager,12,129,7,11,3,37,7,6,0,4
college-visit-planner,edu.brown.cs.termproject.database,DatabaseManager,55,48,8,4,18,15,7,4,1,4
