Name	Latitude	Longitude	City	State
Abilene Christian University	32.469732	-99.70809799999999	Abilene	TX
Adelphi University	40.7198865	-73.6522537	Garden City	NY
Air Force Institute of Technology	39.7818177	-84.08222549999999	Fairborn	OH
Alabama A&M University	34.7823795	-86.5386329	Huntsville	AL
Alabama State University	32.3636575	-86.2940174	Montgomery	AL
Albion College	42.2440064	-84.7451775	Albion	MI
Alfred University	42.253418	-77.78770519999999	Alfred	NY
Alma College	43.3807565	-84.6728043	Alma	MI
Alverno College	42.9834571	-87.96498590000002	Milwaukee	WI
Ambassador University	34.1070009	-83.8751409	Flowery Branch	GA
American Graduate School of International Management	33.451735	-112.0686639	Phoenix	AZ
American International College	42.1129218	-72.5573236	Springfield	MA
American University	38.9370183	-77.08984869999999	Washington	DC
Amherst College	42.3709104	-72.5170028	Amherst	MA
Andrews University	41.9646127	-86.35946609999999	Berrien Springs	MI
Angelo State University	31.4382686	-100.4602762	San Angelo	TX
Antioch New England	42.9318847	-72.2938308	Keene	NH
Antioch University-Los Angeles	33.9885584	-118.3845389	Culver City	CA
Appalachian State University	36.2141284	-81.6824238	Boone	NC
Aquinas College	42.9604684	-85.626114	Grand Rapids	MI
Arizona State University	33.4532165	-112.0719833	Phoenix	AZ
Arkansas State UniversityJonesboro	35.8430861	-90.67485889999999	Jonesboro	AR
Arkansas Tech University	35.29378880000001	-93.1361472	Russellville	AR
Armstrong State College	31.9782395	-81.1643134	Savannah	GA
Ashland University	40.8620193	-82.3225811	Ashland	OH
Assumption College	42.2943228	-71.82915919999999	Worcester	MA
Auburn University	32.5933574	-85.4951663	Auburn	AL
Auburn University - Montgomery	32.3697457	-86.1766584	Montgomery	AL
Augsburg College	44.9659238	-93.24068400000002	Minneapolis	MN
Aurora University	41.7544173	-88.3494778	Aurora	IL
Austin Peay State University	36.53498	-87.3548855	Clarksville	TN
Averett College	36.5782571	-79.41377589999999	Danville	VA
Avila College	38.9123643	-94.59146989999999	KCMO	MO
Azusa Pacific University	34.1300755	-117.8883593	Azusa	CA
Babson College	42.2964421	-71.2657077	Wellesley	MA
Ball State University	40.2049604	-85.40628459999999	Muncie	IN
Baker University	38.7774862	-95.1888342	Baldwin City	KS
Bard College	42.0234033	-73.9080078	Annandale-On-Hudson	NY
Barry University	25.8790392	-80.19661099999999	Miami Shores	FL
Bastyr University	47.7301298	-122.2510475	Kenmore	WA
Bates College	44.1057216	-70.2021865	Lewiston	ME
Baylor University	31.5488923	-97.1130573	Waco	TX
Belmont University	36.1329081	-86.7941702	Nashville	TN
Beloit College	42.5030333	-89.0309048	Beloit	WI
Benedictine College	39.57480810000001	-95.11237609999999	Atchison	KS
Bennington College	42.9203078	-73.2359361	VT
Bentley College	42.3855321	-71.2217903	Waltham	MA
Berea College	37.570585	-84.288969	Berea	KY
Berklee College of Music	42.3465952	-71.0895292	Boston	MA
Biola University	33.9054476	-118.0151797	La Mirada	CA
Black Hills State University	44.4993591	-103.8722763	Spearfish	SD
Bloomsburg University of Pennsylvania	41.0081119	-76.4472749	Bloomsburg	PA
Bluffton College	40.8969477	-83.8993188	Bluffton	OH
Bob Jones University	34.8752857	-82.3644386	Greenville	SC
Boston College	42.3355488	-71.16849450000001	MA
Boston Graduate School of Psychoanalysis	42.3392954	-71.1330411	Brookline	MA
Boston University	42.3504997	-71.1053991	Boston	MA
Bowdoin College	43.9076929	-69.9639971	Brunswick	ME
Bowling Green State University	41.3797788	-83.6300826	Bowling Green	OH
Bradley University	40.6977743	-89.6153484	Peoria	IL
Brandeis University	42.3657375	-71.2585661	Waltham	MA
Brenau University	34.303033	-83.8217863	Gainesville	GA
Bridgewater College	38.3788857	-78.9692627	Bridgewater	VA
Brigham Young University	40.2518435	-111.6493156	Provo	UT
Brigham Young University Hawaii	21.6422084	-157.9262121	Laie	HI
Brown University	41.8267718	-71.4025482	Providence	RI
Bryant College	41.9214717	-71.5376476	Smithfield	RI
Bryn Mawr College	40.0278802	-75.3144595	Bryn Mawr	PA
Bucknell University	40.9547722	-76.88507589999999	Lewisburg	PA
Buena Vista University	42.6417858	-95.20759969999999	Storm Lake	IA
Butler University	39.8405491	-86.1708927	Indianapolis	IN
California Coast University	33.753034	-117.865238	Santa Ana	CA
